duration,day_of_week,user_type
7.123116666666666,Thursday,Registered
9.792516666666666,Thursday,Registered
6.632983333333334,Thursday,Registered
7.4047,Thursday,Registered
13.014583333333333,Thursday,Registered
17.0552,Thursday,Registered
11.01165,Thursday,Registered
30.01175,Thursday,Registered
3.6268166666666666,Thursday,Registered
6.592133333333333,Thursday,Registered
16.912316666666666,Thursday,Casual
4.016983333333333,Thursday,Registered
102.99918333333333,Thursday,Casual
23.829133333333335,Thursday,Registered
2.4967,Thursday,Registered
2.3892,Thursday,Registered
9.66725,Thursday,Casual
4.9980166666666666,Thursday,Registered
3.7829166666666665,Thursday,Registered
19.574033333333333,Thursday,Registered
7.23625,Thursday,Registered
37.01566666666667,Thursday,Registered
6.354783333333334,Thursday,Registered
5.219233333333333,Thursday,Registered
12.378933333333332,Thursday,Registered
12.8984,Thursday,Casual
6.3544833333333335,Thursday,Registered
20.2723,Thursday,Registered
5.163,Thursday,Registered
25.301633333333335,Thursday,Casual
12.022483333333334,Thursday,Registered
36.015633333333334,Thursday,Casual
14.834833333333334,Thursday,Registered
17.088533333333334,Thursday,Registered
91.16705,Thursday,Registered
5.482283333333333,Thursday,Registered
8.1566,Thursday,Registered
7.15755,Thursday,Registered
5.2372,Thursday,Registered
17.667316666666668,Thursday,Registered
13.234133333333334,Thursday,Casual
18.498333333333335,Thursday,Registered
23.231733333333334,Thursday,Registered
13.9926,Thursday,Registered
12.96275,Thursday,Registered
12.164816666666667,Thursday,Registered
17.846783333333335,Thursday,Registered
19.7929,Thursday,Registered
7.606016666666667,Thursday,Registered
12.439383333333334,Thursday,Registered
3.6109333333333336,Thursday,Registered
15.778816666666666,Thursday,Registered
23.06661666666667,Thursday,Casual
20.3752,Thursday,Registered
10.414516666666668,Thursday,Registered
14.76045,Thursday,Registered
13.5493,Thursday,Registered
20.33485,Thursday,Registered
24.523183333333332,Thursday,Registered
46.153933333333335,Thursday,Casual
13.705783333333333,Thursday,Registered
6.2716,Thursday,Registered
19.30976666666667,Thursday,Registered
5.753666666666667,Thursday,Registered
8.793583333333334,Thursday,Registered
19.9632,Thursday,Registered
22.836766666666666,Thursday,Registered
5.956766666666667,Thursday,Registered
12.693483333333333,Thursday,Registered
5.083333333333333,Thursday,Registered
12.693516666666667,Thursday,Registered
14.6523,Thursday,Registered
12.656033333333333,Thursday,Registered
5.311683333333334,Thursday,Registered
8.783816666666667,Thursday,Registered
12.2459,Thursday,Registered
9.551566666666666,Thursday,Registered
17.041783333333335,Thursday,Casual
27.237633333333335,Thursday,Casual
1.2141666666666666,Thursday,Registered
12.437333333333333,Thursday,Registered
13.625133333333334,Thursday,Registered
5.651533333333333,Thursday,Registered
10.708233333333334,Thursday,Registered
8.116366666666666,Thursday,Registered
28.08685,Thursday,Registered
5.917133333333333,Thursday,Registered
31.0032,Thursday,Casual
11.339133333333333,Thursday,Casual
7.241833333333333,Thursday,Registered
12.70905,Thursday,Casual
7.213016666666666,Thursday,Registered
8.330816666666667,Thursday,Registered
9.990933333333333,Thursday,Registered
6.24825,Thursday,Registered
9.379233333333334,Thursday,Registered
6.252883333333333,Thursday,Registered
4.4040333333333335,Thursday,Registered
51.495216666666664,Thursday,Casual
2.963,Thursday,Registered
12.582183333333333,Thursday,Registered
21.114566666666665,Thursday,Registered
74.37688333333334,Thursday,Casual
3.49025,Thursday,Registered
28.922883333333335,Thursday,Registered
5.050633333333334,Thursday,Registered
97.97805,Thursday,Registered
13.820666666666666,Thursday,Registered
4.5662,Thursday,Registered
7.097416666666667,Thursday,Registered
126.64296666666667,Thursday,Casual
