duration,day_of_week,user_type
15.433333333333334,Thursday,Subscriber
3.3,Thursday,Subscriber
2.066666666666667,Thursday,Subscriber
19.683333333333334,Thursday,Subscriber
10.933333333333334,Thursday,Subscriber
19.0,Thursday,Subscriber
6.966666666666667,Thursday,Subscriber
17.033333333333335,Thursday,Subscriber
6.116666666666666,Thursday,Subscriber
6.316666666666666,Thursday,Subscriber
11.3,Thursday,Subscriber
8.3,Thursday,Subscriber
8.283333333333333,Thursday,Subscriber
36.03333333333333,Thursday,Subscriber
5.833333333333333,Thursday,Subscriber
5.35,Thursday,Subscriber
6.416666666666667,Thursday,Subscriber
12.133333333333333,Thursday,Subscriber
2.533333333333333,Thursday,Subscriber
8.7,Thursday,Subscriber
6.933333333333334,Thursday,Subscriber
13.716666666666667,Thursday,Subscriber
20.066666666666666,Thursday,Subscriber
21.816666666666666,Thursday,Customer
14.283333333333333,Thursday,Subscriber
6.266666666666667,Thursday,Subscriber
10.3,Thursday,Subscriber
4.733333333333333,Thursday,Subscriber
9.116666666666667,Thursday,Subscriber
4.266666666666667,Thursday,Subscriber
7.8,Thursday,Subscriber
9.716666666666667,Thursday,Subscriber
2.466666666666667,Thursday,Subscriber
14.566666666666666,Thursday,Subscriber
4.75,Thursday,Subscriber
9.35,Thursday,Subscriber
4.533333333333333,Thursday,Subscriber
5.25,Thursday,Subscriber
14.433333333333334,Thursday,Subscriber
22.316666666666666,Thursday,Customer
20.916666666666668,Thursday,Subscriber
9.733333333333333,Thursday,Subscriber
6.183333333333334,Thursday,Subscriber
10.333333333333334,Thursday,Subscriber
29.8,Thursday,Subscriber
2.4833333333333334,Thursday,Subscriber
12.183333333333334,Thursday,Subscriber
10.383333333333333,Thursday,Subscriber
14.216666666666667,Thursday,Subscriber
5.866666666666666,Thursday,Subscriber
12.75,Thursday,Subscriber
10.7,Thursday,Subscriber
6.583333333333333,Thursday,Subscriber
14.016666666666667,Thursday,Subscriber
5.65,Thursday,Subscriber
8.116666666666667,Thursday,Subscriber
19.05,Thursday,Subscriber
12.283333333333333,Thursday,Subscriber
8.483333333333333,Thursday,Subscriber
10.016666666666667,Thursday,Subscriber
4.383333333333334,Thursday,Subscriber
9.033333333333333,Thursday,Subscriber
18.033333333333335,Thursday,Subscriber
26.366666666666667,Thursday,Customer
3.433333333333333,Thursday,Subscriber
12.333333333333334,Thursday,Customer
16.616666666666667,Thursday,Subscriber
2.85,Thursday,Subscriber
37.75,Thursday,Subscriber
25.7,Thursday,Customer
11.45,Thursday,Subscriber
11.366666666666667,Thursday,Subscriber
8.783333333333333,Thursday,Subscriber
30.5,Thursday,Subscriber
29.583333333333332,Thursday,Customer
23.666666666666668,Thursday,Subscriber
3.8666666666666667,Thursday,Subscriber
3.1,Thursday,Subscriber
10.666666666666666,Thursday,Customer
16.583333333333332,Thursday,Subscriber
24.8,Thursday,Customer
10.05,Thursday,Subscriber
5.9,Thursday,Customer
25.733333333333334,Thursday,Subscriber
3.5,Thursday,Subscriber
189.93333333333334,Thursday,Subscriber
6.0,Thursday,Subscriber
1.1,Thursday,Subscriber
26.166666666666668,Thursday,Customer
91.3,Thursday,Customer
5.25,Thursday,Subscriber
7.833333333333333,Thursday,Subscriber
4.35,Thursday,Subscriber
8.8,Thursday,Subscriber
10.7,Thursday,Subscriber
9.483333333333333,Thursday,Subscriber
14.4,Thursday,Subscriber
42.6,Thursday,Customer
5.433333333333334,Thursday,Subscriber
16.516666666666666,Thursday,Subscriber
4.65,Thursday,Subscriber
2.816666666666667,Thursday,Subscriber
7.516666666666667,Thursday,Subscriber
10.55,Thursday,Subscriber
21.7,Thursday,Subscriber
12.066666666666666,Thursday,Subscriber
13.25,Thursday,Subscriber
18.0,Thursday,Subscriber
7.033333333333333,Thursday,Subscriber
20.916666666666668,Thursday,Customer
9.333333333333334,Thursday,Subscriber
3.3666666666666667,Thursday,Subscriber
7.483333333333333,Thursday,Subscriber
6.883333333333334,Thursday,Subscriber
2.45,Thursday,Subscriber
3.45,Thursday,Subscriber
7.533333333333333,Thursday,Subscriber
11.833333333333334,Thursday,Subscriber
6.983333333333333,Thursday,Subscriber
7.516666666666667,Thursday,Subscriber
6.783333333333333,Thursday,Subscriber
9.833333333333334,Thursday,Subscriber
17.9,Wednesday,Subscriber
17.216666666666665,Wednesday,Subscriber
12.333333333333334,Wednesday,Subscriber
11.45,Wednesday,Subscriber
3.3333333333333335,Wednesday,Subscriber
10.366666666666667,Wednesday,Subscriber
14.05,Wednesday,Subscriber
10.383333333333333,Wednesday,Subscriber
6.5,Wednesday,Subscriber
24.75,Wednesday,Subscriber
6.833333333333333,Wednesday,Subscriber
10.633333333333333,Wednesday,Subscriber
5.5,Wednesday,Subscriber
2.3333333333333335,Wednesday,Subscriber
6.016666666666667,Wednesday,Subscriber
16.05,Wednesday,Subscriber
9.9,Wednesday,Subscriber
18.9,Wednesday,Subscriber
10.333333333333334,Wednesday,Subscriber
2.45,Wednesday,Subscriber
22.133333333333333,Wednesday,Subscriber
5.75,Wednesday,Customer
5.783333333333333,Wednesday,Subscriber
7.65,Wednesday,Subscriber
20.866666666666667,Wednesday,Subscriber
12.383333333333333,Wednesday,Subscriber
3.5833333333333335,Wednesday,Subscriber
3.35,Wednesday,Subscriber
5.45,Wednesday,Subscriber
11.283333333333333,Wednesday,Subscriber
9.733333333333333,Wednesday,Subscriber
16.25,Wednesday,Subscriber
9.583333333333334,Wednesday,Subscriber
3.0,Wednesday,Subscriber
9.083333333333334,Wednesday,Subscriber
4.883333333333334,Wednesday,Subscriber
10.333333333333334,Wednesday,Subscriber
6.366666666666666,Wednesday,Subscriber
35.78333333333333,Wednesday,Customer
2.6,Wednesday,Subscriber
11.25,Wednesday,Subscriber
11.533333333333333,Wednesday,Subscriber
27.65,Wednesday,Customer
